Notes,States,States Code,Single-Year Ages,Single-Year Ages Code,Yearly July 1st Estimates,Yearly July 1st Estimates Code,Population
,Alaska,02,6 years,6,2020,2020,10189
,Alaska,02,6 years,6,2021,2021,10161
,Alaska,02,6 years,6,2022,2022,10085
Total,Alaska,02,6 years,6,,,30435
,Alaska,02,7 years,7,2020,2020,10165
,Alaska,02,7 years,7,2021,2021,10167
,Alaska,02,7 years,7,2022,2022,10090
Total,Alaska,02,7 years,7,,,30422
,Alaska,02,8 years,8,2020,2020,10203
,Alaska,02,8 years,8,2021,2021,10172
,Alaska,02,8 years,8,2022,2022,10186
Total,Alaska,02,8 years,8,,,30561
,Alaska,02,9 years,9,2020,2020,10213
,Alaska,02,9 years,9,2021,2021,10077
,Alaska,02,9 years,9,2022,2022,10192
Total,Alaska,02,9 years,9,,,30482
,Alaska,02,10 years,10,2020,2020,10146
,Alaska,02,10 years,10,2021,2021,10172
,Alaska,02,10 years,10,2022,2022,10068
Total,Alaska,02,10 years,10,,,30386
,Alaska,02,11 years,11,2020,2020,10157
,Alaska,02,11 years,11,2021,2021,10058
,Alaska,02,11 years,11,2022,2022,10137
Total,Alaska,02,11 years,11,,,30352
,Alaska,02,12 years,12,2020,2020,10277
,Alaska,02,12 years,12,2021,2021,10098
,Alaska,02,12 years,12,2022,2022,10016
Total,Alaska,02,12 years,12,,,30391
,Alaska,02,13 years,13,2020,2020,10045
,Alaska,02,13 years,13,2021,2021,10134
,Alaska,02,13 years,13,2022,2022,10039
Total,Alaska,02,13 years,13,,,30218
,Alaska,02,14 years,14,2020,2020,9690
,Alaska,02,14 years,14,2021,2021,9957
,Alaska,02,14 years,14,2022,2022,10027
Total,Alaska,02,14 years,14,,,29674
,Alaska,02,15 years,15,2020,2020,9675
,Alaska,02,15 years,15,2021,2021,9621
,Alaska,02,15 years,15,2022,2022,9844
Total,Alaska,02,15 years,15,,,29140
,Alaska,02,16 years,16,2020,2020,9592
,Alaska,02,16 years,16,2021,2021,9567
,Alaska,02,16 years,16,2022,2022,9549
Total,Alaska,02,16 years,16,,,28708
,Alaska,02,17 years,17,2020,2020,9526
,Alaska,02,17 years,17,2021,2021,9483
,Alaska,02,17 years,17,2022,2022,9534
Total,Alaska,02,17 years,17,,,28543
,Alaska,02,18 years,18,2020,2020,8856
,Alaska,02,18 years,18,2021,2021,8524
,Alaska,02,18 years,18,2022,2022,8476
Total,Alaska,02,18 years,18,,,25856
,Alaska,02,19 years,19,2020,2020,8904
,Alaska,02,19 years,19,2021,2021,8365
,Alaska,02,19 years,19,2022,2022,7797
Total,Alaska,02,19 years,19,,,25066
,Alaska,02,20 years,20,2020,2020,10160
,Alaska,02,20 years,20,2021,2021,10537
,Alaska,02,20 years,20,2022,2022,9650
Total,Alaska,02,20 years,20,,,30347
,Alaska,02,21 years,21,2020,2020,10121
,Alaska,02,21 years,21,2021,2021,10554
,Alaska,02,21 years,21,2022,2022,10805
Total,Alaska,02,21 years,21,,,31480
,Alaska,02,22 years,22,2020,2020,10210
,Alaska,02,22 years,22,2021,2021,10391
,Alaska,02,22 years,22,2022,2022,10676
Total,Alaska,02,22 years,22,,,31277
,Alaska,02,23 years,23,2020,2020,10354
,Alaska,02,23 years,23,2021,2021,10366
,Alaska,02,23 years,23,2022,2022,10543
Total,Alaska,02,23 years,23,,,31263
,Alaska,02,24 years,24,2020,2020,10444
,Alaska,02,24 years,24,2021,2021,10560
,Alaska,02,24 years,24,2022,2022,10470
Total,Alaska,02,24 years,24,,,31474
,Alaska,02,25 years,25,2020,2020,10787
,Alaska,02,25 years,25,2021,2021,10583
,Alaska,02,25 years,25,2022,2022,10558
Total,Alaska,02,25 years,25,,,31928
,Alaska,02,26 years,26,2020,2020,11055
,Alaska,02,26 years,26,2021,2021,10802
,Alaska,02,26 years,26,2022,2022,10638
Total,Alaska,02,26 years,26,,,32495
,Alaska,02,27 years,27,2020,2020,11397
,Alaska,02,27 years,27,2021,2021,11090
,Alaska,02,27 years,27,2022,2022,10702
Total,Alaska,02,27 years,27,,,33189
,Alaska,02,28 years,28,2020,2020,11891
,Alaska,02,28 years,28,2021,2021,11409
,Alaska,02,28 years,28,2022,2022,11062
Total,Alaska,02,28 years,28,,,34362
,Alaska,02,29 years,29,2020,2020,12012
,Alaska,02,29 years,29,2021,2021,11930
,Alaska,02,29 years,29,2022,2022,11445
Total,Alaska,02,29 years,29,,,35387
,Alaska,02,30 years,30,2020,2020,11961
,Alaska,02,30 years,30,2021,2021,11997
,Alaska,02,30 years,30,2022,2022,11941
Total,Alaska,02,30 years,30,,,35899
,Alaska,02,31 years,31,2020,2020,11575
,Alaska,02,31 years,31,2021,2021,11964
,Alaska,02,31 years,31,2022,2022,12021
Total,Alaska,02,31 years,31,,,35560
,Alaska,02,32 years,32,2020,2020,11406
,Alaska,02,32 years,32,2021,2021,11565
,Alaska,02,32 years,32,2022,2022,11978
Total,Alaska,02,32 years,32,,,34949
,Alaska,02,33 years,33,2020,2020,11248
,Alaska,02,33 years,33,2021,2021,11313
,Alaska,02,33 years,33,2022,2022,11517
Total,Alaska,02,33 years,33,,,34078
,Alaska,02,34 years,34,2020,2020,11347
,Alaska,02,34 years,34,2021,2021,11189
,Alaska,02,34 years,34,2022,2022,11377
Total,Alaska,02,34 years,34,,,33913
,Alaska,02,35 years,35,2020,2020,11322
,Alaska,02,35 years,35,2021,2021,11414
,Alaska,02,35 years,35,2022,2022,11192
Total,Alaska,02,35 years,35,,,33928
,Alaska,02,36 years,36,2020,2020,10985
,Alaska,02,36 years,36,2021,2021,11329
,Alaska,02,36 years,36,2022,2022,11437
Total,Alaska,02,36 years,36,,,33751
,Alaska,02,37 years,37,2020,2020,11052
,Alaska,02,37 years,37,2021,2021,10856
,Alaska,02,37 years,37,2022,2022,11253
Total,Alaska,02,37 years,37,,,33161
,Alaska,02,38 years,38,2020,2020,10666
,Alaska,02,38 years,38,2021,2021,10961
,Alaska,02,38 years,38,2022,2022,10770
Total,Alaska,02,38 years,38,,,32397
,Alaska,02,39 years,39,2020,2020,10214
,Alaska,02,39 years,39,2021,2021,10597
,Alaska,02,39 years,39,2022,2022,10839
Total,Alaska,02,39 years,39,,,31650
,Alaska,02,40 years,40,2020,2020,9895
,Alaska,02,40 years,40,2021,2021,10092
,Alaska,02,40 years,40,2022,2022,10466
Total,Alaska,02,40 years,40,,,30453
,Alaska,02,41 years,41,2020,2020,9268
,Alaska,02,41 years,41,2021,2021,9849
,Alaska,02,41 years,41,2022,2022,10039
Total,Alaska,02,41 years,41,,,29156
,Alaska,02,42 years,42,2020,2020,8896
,Alaska,02,42 years,42,2021,2021,9160
,Alaska,02,42 years,42,2022,2022,9692
Total,Alaska,02,42 years,42,,,27748
,Alaska,02,43 years,43,2020,2020,8711
,Alaska,02,43 years,43,2021,2021,8837
,Alaska,02,43 years,43,2022,2022,9037
Total,Alaska,02,43 years,43,,,26585
,Alaska,02,44 years,44,2020,2020,8324
,Alaska,02,44 years,44,2021,2021,8654
,Alaska,02,44 years,44,2022,2022,8854
Total,Alaska,02,44 years,44,,,25832
,Alaska,02,45 years,45,2020,2020,8292
,Alaska,02,45 years,45,2021,2021,8215
,Alaska,02,45 years,45,2022,2022,8529
Total,Alaska,02,45 years,45,,,25036
,Alaska,02,46 years,46,2020,2020,8035
,Alaska,02,46 years,46,2021,2021,8257
,Alaska,02,46 years,46,2022,2022,8146
Total,Alaska,02,46 years,46,,,24438
,Alaska,02,47 years,47,2020,2020,8107
,Alaska,02,47 years,47,2021,2021,7873
,Alaska,02,47 years,47,2022,2022,8179
Total,Alaska,02,47 years,47,,,24159
,Alaska,02,48 years,48,2020,2020,8439
,Alaska,02,48 years,48,2021,2021,8023
,Alaska,02,48 years,48,2022,2022,7800
Total,Alaska,02,48 years,48,,,24262
,Alaska,02,49 years,49,2020,2020,9012
,Alaska,02,49 years,49,2021,2021,8424
,Alaska,02,49 years,49,2022,2022,8034
Total,Alaska,02,49 years,49,,,25470
,Alaska,02,50 years,50,2020,2020,9001
,Alaska,02,50 years,50,2021,2021,8925
,Alaska,02,50 years,50,2022,2022,8391
Total,Alaska,02,50 years,50,,,26317
,Alaska,02,51 years,51,2020,2020,8580
,Alaska,02,51 years,51,2021,2021,8759
,Alaska,02,51 years,51,2022,2022,8769
Total,Alaska,02,51 years,51,,,26108
,Alaska,02,52 years,52,2020,2020,8314
,Alaska,02,52 years,52,2021,2021,8497
,Alaska,02,52 years,52,2022,2022,8665
Total,Alaska,02,52 years,52,,,25476
,Alaska,02,53 years,53,2020,2020,8406
,Alaska,02,53 years,53,2021,2021,8228
,Alaska,02,53 years,53,2022,2022,8417
Total,Alaska,02,53 years,53,,,25051
,Alaska,02,54 years,54,2020,2020,8602
,Alaska,02,54 years,54,2021,2021,8232
